listing_id,reviewer_id,compound,score,adjusted_score,rating
6134867,15140934,0.6801,4,5,5
6134867,4962422,0.9805,4,5,5
A couple of moot points for us were the size of the room. When the sofa bed is out, we were able to stow some of our baggage into the hallway. Otherwise,-0.5277,1,1.9446,2
1497879,22338674,0.4295,3,3.859,4
1497879,13506008,0.4215,3,3.843,4
Sara was very quick at returning all communication about checking in, local attractions,0,2,3,3
The studio is exactly what you see in the photos.  It is a basement apartment in an old historic building, so watch your step when you enter,0,2,3,3
The greatest advantage of staying here is the location. However, I'd avoid this listing. Sara was thorough in her orientation and made check-in easy,0,2,3,3
1497879,49446728,-0.5095,1,1.981,2
1497879,4744261,0.8341,4,5,5
1497879,14262095,0.8475,4,5,5
1497879,6357314,0.7397,4,5,5
1497879,45175231,0.6249,4,5,5
1497879,45465067,0.8777,4,5,5
8930592,37569314,0.8016,4,5,5
8930592,47282200,0.5106,4,4.0212,4
8930592,50531480,0.8433,4,5,5
8930592,46069958,0.6879,4,5,5
8930592,54005430,0.9549,4,5,5
8930592,25491107,0.8643,4,5,5
8930592,23344507,0.4753,3,3.9506,4
8930592,21482521,0.5859,4,4.1718,4
8930592,58494554,0.9408,4,5,5
8930592,5175067,0.6588,4,5,5
4924009,17016237,-0.2732,2,2.4536,2
Others have commented on the look of the apartment, but it had a full kitchen and fridge,0.7034,4,5,5
4924009,14806354,0.4522,3,3.9044,4
4924009,72397127,0.802,4,5,5
4924009,8234763,0.4754,3,3.9508,4
4924009,43456402,0.8932,4,5,5
4924009,31117875,0.6249,4,5,5
4924009,27654811,0.932,4,5,5
4924009,78356504,0.7184,4,5,5
8090623,44087948,0.8999,4,5,5
8090623,76309026,0.9392,4,5,5
8090623,47097347,0.7096,4,5,5
8090623,1275777,0.8807,4,5,5
12599820,19598747,0,2,3,3
4967219,7220925,0.9659,4,5,5
4967219,12012751,0.6083,4,5,5
4967219,4969829,0,2,3,3
4967219,39663119,0,2,3,3
4967219,51871336,0.7351,4,5,5
4967219,61322261,0.7233,4,5,5
4967219,40156980,0.4019,3,3.8038,4
4967219,32221626,0.4215,3,3.843,4
4967219,58822215,0.5106,4,4.0212,4
4967219,9038938,0.8712,4,5,5
4967219,9805601,0.5719,4,4.1438,4
4967219,90126438,0.7818,4,5,5
753446,30996493,0.4754,3,3.9508,4
753446,76057048,0.4215,3,3.843,4
753446,76751572,0.6249,4,5,5
753446,17811367,0.5994,4,4.1988,4
1197857,3724571,0,2,3,3
1197857,29755778,0.9344,4,5,5
1197857,50782820,0.8716,4,5,5
1197857,57453765,0.4404,3,3.8808,4
13546414,49971126,0,2,3,3
13546414,81147285,0.7956,4,5,5
4304969,22301577,0.788,4,5,5
4304969,29660089,0,2,3,3
4304969,29656410,0.8625,4,5,5
4304969,16542303,0.9245,4,5,5
4304969,33031836,0.7783,4,5,5
4304969,20906856,0.7579,4,5,5
4304969,41043775,0.8744,4,5,5
4304969,41252673,0.8481,4,5,5
4304969,61241530,0.8957,4,5,5
4304969,26602615,0.7233,4,5,5
4304969,35295430,0.9346,4,5,5
4304969,24932012,0.8016,4,5,5
4304969,24240004,0.6114,4,5,5
4304969,73420428,0.6249,4,5,5
8613870,23113499,0.9274,4,5,5
7292184,40746473,0.5984,4,4.1968,4
11593592,38165057,0,2,3,3
11593592,47203142,0.4927,3,3.9854,4
11593592,26073285,0.7506,4,5,5
11593592,59985480,0,2,3,3
11593592,34146891,0.8268,4,5,5
11593592,49647803,0.7906,4,5,5
11593592,71860478,0.9311,4,5,5
11593592,85970328,0.8906,4,5,5
2326445,1994425,0.9674,4,5,5
2326445,35859243,0.9446,4,5,5
2326445,38588463,0.8777,4,5,5
2326445,14103359,0.9752,4,5,5
2326445,3475102,0.7889,4,5,5
2326445,42758931,0.8625,4,5,5
2326445,6787929,0.6249,4,5,5
11902134,10803669,0,2,3,3
11902134,337935,0.83,4,5,5
5991427,15079973,0.4753,3,3.9506,4
5991427,43979959,0,2,3,3
5991427,69983876,0.5994,4,4.1988,4
5991427,69226493,0.7213,4,5,5
5991427,60245273,0,2,3,3
To summarize, not in airbnb qualifications,0.2023,3,3.4046,3
2278704,13099789,0.8822,4,5,5
2278704,17892685,0.7345,4,5,5
2278704,26622532,0,2,3,3
2278704,35702203,0,2,3,3
2278704,34180728,0.9432,4,5,5
2278704,38624014,0.7579,4,5,5
2278704,12048979,0.5095,4,4.019,4
2278704,20713687,0.7316,4,5,5
2278704,66750236,0.974,4,5,5
2278704,76537865,0.8872,4,5,5
11211273,24241184,0.8316,4,5,5
11211273,84567333,0,2,3,3
10881994,14376843,0,2,3,3
     Unfortunately, the wall outlet started to spark because the cord was frayed. We had no choice but to open the windows and cool off the apartment. The building is on a very busy main street,0.4939,3,3.9878,4
     This is an old somewhat run down building. While it's decorated very nicely, the main room heating unit was leaking and there was significant dry rot on the floor,0,2,3,3
10881994,70004552,0.8775,4,5,5
10881994,30041891,0.9227,4,5,5
10881994,35035474,0.8225,4,5,5
10881994,1769997,0.6588,4,5,5
4364925,22551273,0,2,3,3
4364925,21695873,0.6908,4,5,5
4364925,31284073,0.7801,4,5,5
4364925,12696088,0.6114,4,5,5
4364925,14435298,0,2,3,3
4364925,47508978,0.4754,3,3.9508,4
4364925,91175522,0.8151,4,5,5
4261781,33451142,0.8012,4,5,5
13064781,80012584,0.5719,4,4.1438,4
13064781,60531481,0.8682,4,5,5
9094794,47470232,0,2,3,3
9094794,47636349,0,2,3,3
6080461,31944512,0.1641,3,3.3282,3
5940866,18059325,0.8313,4,5,5
5940866,18998698,0.7964,4,5,5
5940866,33223720,0.9647,4,5,5
5940866,14232171,0.8779,4,5,5
5940866,43486682,0.9347,4,5,5
5940866,12938674,0.743,4,5,5
5940866,50138515,0.6114,4,5,5
5940866,68752156,0.5994,4,4.1988,4
5940866,32842580,0.5983,4,4.1966,4
12265433,30793554,0,2,3,3
12303347,24845289,0.9359,4,5,5
4861476,26933858,0,2,3,3
4861476,63206623,0,2,3,3
4861476,27264759,0,2,3,3
13015653,79352342,0.9343,4,5,5
13015653,74213858,0.8641,4,5,5
10266928,57404812,0.802,4,5,5
10266928,42763415,0.6249,4,5,5
7527149,45465100,0.8074,4,5,5
7527149,19541870,0.9744,4,5,5
7527149,42836027,0.8313,4,5,5
1803138,2873711,0.7269,4,5,5
1803138,14462616,0.6997,4,5,5
1803138,19407370,0,2,3,3
3415033,16775292,0.6114,4,5,5
3415033,5986010,0.9244,4,5,5
2947662,15515996,0.9152,4,5,5
2947662,139908,0.9166,4,5,5
2947662,9931042,0.9564,4,5,5
2947662,69005053,0.5719,4,4.1438,4
6706463,42332504,0,2,3,3
The apartment itself was sparkling clean with luxe amenities, stainless steel,0,2,3,3
5885130,8437883,0.5719,4,4.1438,4
5885130,71000002,0.9594,4,5,5
14691657,92491795,0,2,3,3
14691657,85835117,0.9441,4,5,5
11462476,8370990,0.9616,4,5,5
11462476,48872133,0.95,4,5,5
11462476,15540953,0.6249,4,5,5
11462476,12730688,0.6249,4,5,5
11462476,2141273,0.6114,4,5,5
8469464,34382939,0,2,3,3
8469464,35315195,0.9377,4,5,5
12253029,72265128,0,2,3,3
12253029,5810393,0.784,4,5,5
8514932,28839593,0.9377,4,5,5
8514932,8428237,0,2,3,3
8514932,61875735,0,2,3,3
1525494,5816475,0.6249,4,5,5
1525494,15781289,0.5859,4,4.1718,4
1525494,34002822,0.6249,4,5,5
1525494,30824856,0.8966,4,5,5
1525494,60168222,0.9398,4,5,5
1525494,62908750,0.9324,4,5,5
1525494,62908750,0.5719,4,4.1438,4
1525494,52265182,0.9564,4,5,5
10186477,53452111,0.9441,4,5,5
13028247,62353596,0.9033,4,5,5
1167221,823710,0,2,3,3
1167221,2549378,0.9117,4,5,5
1167221,2819029,0.9721,4,5,5
1167221,2861268,-0.079,2,2.842,3
Tenants are very kind, including a huge kitchen are very well maintained. We Had a suite,0,2,3,3
1167221,31061359,0.8251,4,5,5
1167221,31685055,0.8074,4,5,5
1167221,53897404,0.4019,3,3.8038,4
1167221,30608910,0.6581,4,5,5
1167221,700691,0.9153,4,5,5
4532603,4223294,0.9152,4,5,5
11687122,64279474,0,2,3,3
2916208,18208171,0.7783,4,5,5
Embedded in Jamaica Plain (Boston), bookshops,0,2,3,3
3616081,2644617,0,2,3,3
3616081,21190695,0.8413,4,5,5
3616081,1212274,0.2732,3,3.5464,4
3616081,9766835,0.2944,3,3.5888,4
3616081,45373084,0.9509,4,5,5
2821921,38666567,0.8016,4,5,5
1342370,14139692,0,2,3,3
1342370,12532420,0.882,4,5,5
1342370,30156482,0.8439,4,5,5
1342370,51328464,0.9022,4,5,5
1342370,19780086,0.6249,4,5,5
9530285,59077426,0,2,3,3
1498719,8303913,0.9549,4,5,5
4149974,25805471,0.9419,4,5,5
4149974,13115846,0.7264,4,5,5
4149974,24774419,0.915,4,5,5
4149974,110024,0.8832,4,5,5
7920541,46983287,0.8588,4,5,5
7920541,40459792,0.8217,4,5,5
7920541,48398698,0.6249,4,5,5
7920541,85521826,0.6588,4,5,5
7920541,41402314,0,2,3,3
8649257,2720263,0.4019,3,3.8038,4
8649257,37946144,0.4019,3,3.8038,4
6355733,40058646,0.7501,4,5,5
12253499,31018684,0.8588,4,5,5
12253499,8927209,0.8947,4,5,5
13147585,22935461,0.974,4,5,5
13147585,39810436,0,2,3,3
4879579,17412305,0.9556,4,5,5
2875267,10872025,0.8999,4,5,5
2875267,26000044,0.7778,4,5,5
2875267,7795473,0.7351,4,5,5
2875267,19160532,0.8976,4,5,5
2875267,48570711,0.5719,4,4.1438,4
One of those houses you would think that only exists in houses' magazines. I wish I lived in place like this! So beautifully decorated, huge TV,0.4522,3,3.9044,4
2875267,30841808,0.8996,4,5,5
68902,32763933,0.8316,4,5,5
When we arrived, soap,0,2,3,3
3601424,31179730,0,2,3,3
3601424,29061758,0.9034,4,5,5
3601424,5837264,0.9556,4,5,5
My only complaint was that I didn't get enough time with the dogs. And, then disinterested after a good sniff of my bags. Also,0,2,3,3
3601424,14076038,0.9369,4,5,5
3601424,35823169,0.9313,4,5,5
11885148,41741260,0,2,3,3
12304165,5004259,0.9098,4,5,5
12304165,46879511,0.9544,4,5,5
12304165,39912331,0.872,4,5,5
6347026,41914194,0.9348,4,5,5
6347026,44666691,0.8883,4,5,5
6347026,30784847,0.9325,4,5,5
6347026,63731605,0.836,4,5,5
6347026,76021379,0.4767,3,3.9534,4
6347026,5267374,0.2732,3,3.5464,4
6347026,77968290,0,2,3,3
6347026,67894699,0,2,3,3
6347026,22338437,0.9153,4,5,5
238846,16621493,0,2,3,3
238846,29450050,0.4754,3,3.9508,4
238846,60836495,0.5413,4,4.0826,4
749247,5544266,0.9294,4,5,5
749247,36232947,0.9151,4,5,5
749247,9399100,0.8459,4,5,5
" The location is just perfect for first time travelers to Boston.  It's very easy to find and very close to """"T"""" station", this is the perfect place to chose,0,2,3,3
749247,46571581,0.5859,4,4.1718,4
1458081,85217019,0.8684,4,5,5
10056496,70223981,0,2,3,3
10056496,10882392,0.6249,4,5,5
69369,473539,0.9731,4,5,5
69369,1304854,0.5574,4,4.1148,4
69369,2036634,0.7783,4,5,5
69369,3240024,0.8122,4,5,5
69369,5870701,0,2,3,3
69369,14804479,0.8805,4,5,5
69369,223359,0.9335,4,5,5
69369,21019976,0,2,3,3
69369,63076989,0.7506,4,5,5
She is such an extraordinary host and woman, and if not - she would have been the sun,0.4215,3,3.843,4
60029,1304854,0.5983,4,4.1966,4
60029,2372403,0.9638,4,5,5
60029,3068291,0.8904,4,5,5
60029,2895852,0.5093,4,4.0186,4
60029,38271290,0.8225,4,5,5
60029,35050130,0,2,3,3
60029,38076734,0.8682,4,5,5
60029,37787683,0.8689,4,5,5
60029,26049036,0.9849,4,5,5
6014302,39344730,0,2,3,3
11734812,3886608,0.7717,4,5,5
11734812,84586091,0,2,3,3
5729845,51538,0.7783,4,5,5
They also have a cat, and they offered use of their kitchen area and some treats like tea,0,2,3,3
5729845,32155424,0.9195,4,5,5
5729845,23025847,0.8658,4,5,5
5729845,68406362,0.8803,4,5,5
5293067,32874420,0.9078,4,5,5
12020004,64112466,0.4754,3,3.9508,4
12020004,44314192,0,2,3,3
6489209,39858050,0.807,4,5,5
6489209,34149267,0.7783,4,5,5
2021489,74129660,0,2,3,3
2021489,44466604,0.9576,4,5,5
8131907,18120984,0.937,4,5,5
8131907,59996345,0.296,3,3.592,4
6939162,12531362,0,2,3,3
6939162,40704816,0.8399,4,5,5
6939162,14384055,0.9607,4,5,5
6565713,36661938,0,2,3,3
6565713,692621,0,2,3,3
6565713,25593362,0.7902,4,5,5
6565713,42943743,0,2,3,3
6780300,44963311,0.8012,4,5,5
169938,9361425,0,2,3,3
10706413,61022746,0.8268,4,5,5
10706413,63842969,0.7964,4,5,5
4718577,645839,0.5095,4,4.019,4
4718577,8011519,0.9395,4,5,5
4718577,74007222,0.9618,4,5,5
2776143,1820750,0.6249,4,5,5
2776143,11937121,0.5719,4,4.1438,4
2776143,14941683,0.8777,4,5,5
2776143,1178161,0,2,3,3
2776143,17892139,0.6249,4,5,5
The room was not cleaned when we arrived.  While we chatted with Sean, and then replaced the sheets on the bed while we went to grab lunch.  Because we left,0,2,3,3
2776143,11324671,0.7425,4,5,5
2776143,25448937,0.8316,4,5,5
2776143,26672266,0.8176,4,5,5
2776143,4693759,0.9214,4,5,5
#NAME?, fridge. Bathroom is fine,-0.296,2,2.408,2
The place is tiny but when you have a room on Beacon Hill for right around 100$, if the dishes haven't been done,0,2,3,3
2776143,18033738,0.5574,4,4.1148,4
2776143,1574600,0.8793,4,5,5
2776143,36150708,0.923,4,5,5
2776143,26323320,0.872,4,5,5
2776143,20619654,0.5574,4,4.1148,4
2776143,344593,0.743,4,5,5
2776143,33768516,0.6249,4,5,5
2776143,55519192,0.9349,4,5,5
2776143,54805108,0.9379,4,5,5
2776143,10546330,0.5562,4,4.1124,4
2776143,45792273,0.7906,4,5,5
2776143,47500352,0.9245,4,5,5
2776143,19045791,-0.6964,1,1.6072,2
2776143,11696859,0.9179,4,5,5
2776143,59274779,0.9216,4,5,5
2776143,56097441,0.4754,3,3.9508,4
4278873,28805399,0.8316,4,5,5
4278873,29169681,0.784,4,5,5
4278873,9173786,0.93,4,5,5
4278873,27363396,0.7902,4,5,5
4278873,54877957,0.6239,4,5,5
8420883,54880673,0,2,3,3
8420883,71656236,0,2,3,3
7321217,7459625,0.6249,4,5,5
7321217,28622527,0.8779,4,5,5
7321217,6480465,0,2,3,3
7321217,68696256,0.9688,4,5,5
2301709,15233058,0.9611,4,5,5
2301709,9050587,0.9081,4,5,5
2301709,5623111,0,2,3,3
2301709,37049706,0.8856,4,5,5
2301709,15457727,0.6369,4,5,5
2301709,8747031,0.9409,4,5,5
2301709,54390148,0.9371,4,5,5
14388025,57197256,0.6249,4,5,5
4080000,12711808,0.5994,4,4.1988,4
4080000,552500,-0.1531,2,2.6938,3
4080000,31943030,0.6893,4,5,5
4080000,39656394,0.9001,4,5,5
4080000,39965783,0,2,3,3
4080000,39201296,0.4019,3,3.8038,4
4080000,41102515,0.5859,4,4.1718,4
4080000,36599705,0.8122,4,5,5
4080000,13738751,0.4391,3,3.8782,4
4080000,62036087,0.5499,4,4.0998,4
27611,20439048,0,2,3,3
1757417,7461206,0.9489,4,5,5
6181230,34105748,0.4549,3,3.9098,4
2308630,36345545,0.8977,4,5,5
2308630,40648297,0.5106,4,4.0212,4
2308630,42802386,0,2,3,3
295285,14124233,0.7501,4,5,5
295285,3167955,0,2,3,3
10068240,10949278,0.7074,4,5,5
10068240,40993975,0.9299,4,5,5
8006992,86945591,0.9432,4,5,5
7614517,3744597,0.8016,4,5,5
7614517,4854021,0.802,4,5,5
7614517,70237210,0.7243,4,5,5
7614517,38321321,0.6361,4,5,5
7713728,32838038,0.8016,4,5,5
7713728,121960,0.9595,4,5,5
7713728,45384137,0.8268,4,5,5
7713728,64961506,0.765,4,5,5
7713728,32978473,0.6557,4,5,5
7713728,41301725,0.9646,4,5,5
7713728,34401450,0.5562,4,4.1124,4
11656698,62170206,0.4576,3,3.9152,4
11656698,64812369,0,2,3,3
11656698,55070549,0,2,3,3
11656698,7146654,0,2,3,3
11656698,22950437,0,2,3,3
11656698,64715165,0,2,3,3
11656698,21058225,0,2,3,3
11656698,46831002,0.6249,4,5,5
7113260,9427146,0.6249,4,5,5
7113260,18007214,0,2,3,3
7113260,34072668,0,2,3,3
John's home is clean, thoughtful and immediate with all communication. Friendly neighbors across the street,0,2,3,3
7134081,36049408,0.8955,4,5,5
7134081,2866757,0.6249,4,5,5
3870046,10557336,0.9598,4,5,5
3870046,7188473,0.8398,4,5,5
3870046,24993795,0.9042,4,5,5
3870046,31749230,0.9041,4,5,5
3870046,62987887,0,2,3,3
3870046,51001741,0.9097,4,5,5
3870046,66961006,0.9168,4,5,5
6121709,12326053,0.8316,4,5,5
6121709,2627839,0,2,3,3
6121709,35713381,0.8316,4,5,5
6121709,26318293,0,2,3,3
6121709,14467675,0.8777,4,5,5
7837202,45070734,0.4754,3,3.9508,4
12262803,21559936,0.128,3,3.256,3
1066742,50863077,0.967,4,5,5
1066742,71641731,0.6249,4,5,5
1066742,37037905,0,2,3,3
1066742,67474945,0,2,3,3
14398508,49416634,0,2,3,3
14460344,90135524,0.6908,4,5,5
7630340,9818800,0.8316,4,5,5
14668008,41317323,0,2,3,3
2931271,204501,0.9072,4,5,5
2931271,29383238,0.8834,4,5,5
2931271,34696355,0.4215,3,3.843,4
3659917,22262493,0.9412,4,5,5
3659917,10198721,0,2,3,3
3659917,10213713,0.7964,4,5,5
The apt. is exactly as depicted, firm and very comfortable futon mattress on the bed,0.7579,4,5,5
3659917,32113856,0,2,3,3
3659917,4689735,0,2,3,3
6248970,32614752,0.6588,4,5,5
6248970,33265648,0.954,4,5,5
6248970,18413143,0.8467,4,5,5
6248970,11359471,0.8553,4,5,5
6248970,45314532,0.7397,4,5,5
6248970,22450001,0.9606,4,5,5
1529321,8891281,0.6696,4,5,5
1529321,9202841,0.8062,4,5,5
1529321,111288,0.8737,4,5,5
1529321,15490106,0.6249,4,5,5
1529321,12479039,0.855,4,5,5
1529321,11023749,0.4215,3,3.843,4
1529321,3465190,0.9548,4,5,5
1529321,31374583,0.8687,4,5,5
1529321,27363396,0.91,4,5,5
1529321,71864856,0.5719,4,4.1438,4
9858437,60356376,0,2,3,3
9858437,12240925,0.4019,3,3.8038,4
9858437,59546411,0.802,4,5,5
4278067,32982718,0.8439,4,5,5
4278067,38227266,0.9516,4,5,5
4278067,12795171,0.6249,4,5,5
First we were very well received by Kevin, useful phone numbers,0,2,3,3
4278067,12318420,0,2,3,3
4278067,55442211,0.7574,4,5,5
13578106,75825276,0.8748,4,5,5
1178371,28847247,0.8439,4,5,5
1178371,23504707,0.5859,4,4.1718,4
1178371,30838227,0.9169,4,5,5
1178371,42266724,0,2,3,3
1178371,45596009,0.8261,4,5,5
1178371,3985030,0.9294,4,5,5
1178371,53184902,0.9587,4,5,5
1178371,71640621,0.5972,4,4.1944,4
6317722,44199419,0.6249,4,5,5
6317722,24729760,0.923,4,5,5
In terms of dealing with the host, dark apartment any longer than I had to anyway,0,2,3,3
8536113,86057948,0.6249,4,5,5
1884045,15616448,0.8885,4,5,5
1884045,16467663,0.7425,4,5,5
1884045,17618158,0.6588,4,5,5
1884045,13061649,0.6114,4,5,5
1884045,13354138,0.961,4,5,5
1884045,20450527,0.4588,3,3.9176,4
1884045,26420633,0.8479,4,5,5
1884045,30093732,0.7773,4,5,5
1884045,20512256,0.8779,4,5,5
1884045,26916912,0.5709,4,4.1418,4
1884045,13774616,0.7184,4,5,5
1884045,29466661,0.7755,4,5,5
1884045,41400571,0,2,3,3
1884045,27898121,0.9735,4,5,5
1884045,55977079,0.4019,3,3.8038,4
1884045,53641337,0.8834,4,5,5
1884045,19360082,0.6893,4,5,5
1884045,27602667,0.95,4,5,5
1884045,23607339,0.7397,4,5,5
1884045,79080454,0.8588,4,5,5
6676364,21851035,0.4754,3,3.9508,4
6676364,37705217,0.8126,4,5,5
6676364,32596759,0.9201,4,5,5
6676364,31906273,0.9183,4,5,5
6676364,23765217,0.9324,4,5,5
6676364,54131907,0.4939,3,3.9878,4
6676364,26287652,0.9287,4,5,5
6676364,1668930,0.9555,4,5,5
6676364,64464898,0.9146,4,5,5
6676364,63158434,0.8908,4,5,5
6676364,62262712,0.7178,4,5,5
6676364,31415597,0.6588,4,5,5
My private bedroom was filled with perks, and other common areas which are shared were equally impeccable and fully stocked. Bernie was kind and communicative when telling me all about the space,0.2023,3,3.4046,3
6676364,1150667,0.8074,4,5,5
6676364,41316891,0.9285,4,5,5
6676364,43023696,0.9468,4,5,5
6676364,86862227,0.8225,4,5,5
2915643,32217512,0,2,3,3
